x= 0, y= 0, width= 4, height= 4
x= 4, y= 0, width= 8, height= 2
x= 4, y= 2, width= 8, height= 2
x= 12, y= 0, width= 4, height= 4
x= 0, y= 4, width= 4, height= 8
x= 4, y= 4, width= 8, height= 4
x= 4, y= 8, width= 8, height= 4
x= 12, y= 4, width= 4, height= 4
x= 12, y= 8, width= 4, height= 4
x= 0, y= 12, width= 4, height= 4
x= 4, y= 12, width= 4, height= 4
x= 8, y= 12, width= 4, height= 4
x= 12, y= 12, width= 4, height= 4
x= 16, y= 0, width= 16, height= 1
x= 16, y= 1, width= 16, height= 1
x= 16, y= 2, width= 16, height= 1
x= 16, y= 3, width= 16, height= 1
x= 16, y= 4, width= 16, height= 4
x= 16, y= 8, width= 16, height= 4
x= 16, y= 12, width= 16, height= 4
x= 0, y= 16, width= 8, height= 4
x= 0, y= 20, width= 8, height= 8
x= 0, y= 28, width= 4, height= 4
x= 4, y= 28, width= 4, height= 4
x= 8, y= 16, width= 4, height= 4
x= 8, y= 20, width= 4, height= 4
x= 8, y= 24, width= 4, height= 4
x= 8, y= 28, width= 4, height= 4
x= 12, y= 16, width= 4, height= 4
x= 12, y= 20, width= 4, height= 4
x= 12, y= 24, width= 4, height= 4
x= 12, y= 28, width= 4, height= 4
x= 16, y= 16, width= 8, height= 4
x= 16, y= 20, width= 8, height= 4
x= 16, y= 24, width= 8, height= 4
x= 16, y= 28, width= 8, height= 4
x= 24, y= 16, width= 8, height= 4
x= 24, y= 20, width= 8, height= 8
x= 24, y= 28, width= 8, height= 4
x= 32, y= 0, width= 8, height= 2
x= 32, y= 2, width= 8, height= 2
x= 32, y= 4, width= 4, height= 4
x= 36, y= 4, width= 4, height= 4
x= 40, y= 0, width= 8, height= 2
x= 40, y= 2, width= 8, height= 2
x= 40, y= 4, width= 8, height= 2
x= 40, y= 6, width= 8, height= 2
x= 32, y= 8, width= 16, height= 1
x= 32, y= 9, width= 16, height= 1
x= 32, y= 10, width= 16, height= 1
x= 32, y= 11, width= 16, height= 1
x= 32, y= 12, width= 16, height= 4
x= 48, y= 0, width= 8, height= 8
x= 48, y= 8, width= 8, height= 4
x= 48, y= 12, width= 8, height= 4
x= 56, y= 0, width= 8, height= 4
x= 56, y= 4, width= 8, height= 4
x= 56, y= 8, width= 8, height= 4
x= 56, y= 12, width= 8, height= 4
x= 32, y= 16, width= 16, height= 4
x= 32, y= 20, width= 16, height= 1
x= 32, y= 21, width= 16, height= 1
x= 32, y= 22, width= 16, height= 1
x= 32, y= 23, width= 16, height= 1
x= 32, y= 24, width= 16, height= 8
x= 48, y= 16, width= 8, height= 16
x= 56, y= 16, width= 8, height= 16
x= 0, y= 32, width= 4, height= 8
x= 4, y= 32, width= 8, height= 8
x= 12, y= 32, width= 4, height= 4
x= 12, y= 36, width= 4, height= 4
