x= 0, y= 0, width= 32, height= 16
x= 0, y= 16, width= 32, height= 16
x= 32, y= 0, width= 32, height= 16
x= 32, y= 16, width= 32, height= 16
x= 0, y= 32, width= 16, height= 32
x= 16, y= 32, width= 16, height= 32
x= 32, y= 32, width= 32, height= 32
x= 64, y= 0, width= 64, height= 64
x= 0, y= 64, width= 64, height= 64
x= 64, y= 64, width= 32, height= 32
x= 96, y= 64, width= 32, height= 8
x= 96, y= 72, width= 16, height= 16
x= 112, y= 72, width= 16, height= 16
x= 96, y= 88, width= 32, height= 8
x= 64, y= 96, width= 32, height= 32
x= 96, y= 96, width= 8, height= 32
x= 104, y= 96, width= 8, height= 32
x= 112, y= 96, width= 16, height= 16
x= 112, y= 112, width= 4, height= 16
x= 116, y= 112, width= 8, height= 16
x= 124, y= 112, width= 4, height= 16
x= 128, y= 0, width= 32, height= 32
x= 160, y= 0, width= 8, height= 32
x= 168, y= 0, width= 16, height= 32
x= 184, y= 0, width= 8, height= 16
x= 184, y= 16, width= 8, height= 4
x= 184, y= 20, width= 8, height= 8
x= 184, y= 28, width= 8, height= 4
x= 128, y= 32, width= 16, height= 32
x= 144, y= 32, width= 8, height= 8
x= 144, y= 40, width= 8, height= 16
x= 144, y= 56, width= 8, height= 8
x= 152, y= 32, width= 8, height= 16
x= 152, y= 48, width= 8, height= 16
x= 160, y= 32, width= 8, height= 16
x= 168, y= 32, width= 16, height= 8
x= 168, y= 40, width= 16, height= 8
x= 184, y= 32, width= 8, height= 16
x= 160, y= 48, width= 32, height= 16
x= 192, y= 0, width= 64, height= 16
x= 192, y= 16, width= 64, height= 16
x= 192, y= 32, width= 64, height= 32
x= 128, y= 64, width= 32, height= 32
x= 128, y= 96, width= 32, height= 32
x= 160, y= 64, width= 16, height= 64
x= 176, y= 64, width= 16, height= 64
x= 192, y= 64, width= 32, height= 8
x= 192, y= 72, width= 32, height= 16
x= 192, y= 88, width= 32, height= 8
x= 192, y= 96, width= 32, height= 32
x= 224, y= 64, width= 32, height= 16
x= 224, y= 80, width= 32, height= 16
x= 224, y= 96, width= 32, height= 32
x= 256, y= 0, width= 64, height= 64
x= 320, y= 0, width= 32, height= 64
x= 256, y= 64, width= 32, height= 16
x= 256, y= 80, width= 32, height= 16
x= 288, y= 64, width= 32, height= 32
x= 256, y= 96, width= 32, height= 16
x= 256, y= 112, width= 8, height= 16
x= 264, y= 112, width= 16, height= 16
x= 280, y= 112, width= 8, height= 4
x= 280, y= 116, width= 8, height= 8
x= 280, y= 124, width= 8, height= 4
x= 288, y= 96, width= 32, height= 32
x= 320, y= 64, width= 32, height= 64
x= 0, y= 128, width= 64, height= 64
x= 64, y= 128, width= 32, height= 64
x= 96, y= 128, width= 16, height= 64
x= 112, y= 128, width= 16, height= 64
x= 0, y= 192, width= 64, height= 64
x= 64, y= 192, width= 32, height= 32
x= 96, y= 192, width= 32, height= 32
x= 64, y= 224, width= 32, height= 32
x= 96, y= 224, width= 32, height= 32
x= 128, y= 128, width= 16, height= 16
x= 128, y= 144, width= 16, height= 16
x= 128, y= 160, width= 16, height= 16
x= 128, y= 176, width= 16, height= 16
x= 144, y= 128, width= 16, height= 32
x= 160, y= 128, width= 16, height= 32
x= 144, y= 160, width= 8, height= 32
x= 152, y= 160, width= 16, height= 32
x= 168, y= 160, width= 8, height= 32
x= 176, y= 128, width= 16, height= 64
x= 192, y= 128, width= 32, height= 16
x= 192, y= 144, width= 32, height= 16
x= 224, y= 128, width= 32, height= 16
x= 224, y= 144, width= 8, height= 16
x= 232, y= 144, width= 16, height= 16
x= 248, y= 144, width= 8, height= 16
x= 192, y= 160, width= 32, height= 32
x= 224, y= 160, width= 8, height= 32
x= 232, y= 160, width= 16, height= 16
x= 232, y= 176, width= 16, height= 16
x= 248, y= 160, width= 8, height= 32
x= 128, y= 192, width= 16, height= 32
x= 144, y= 192, width= 16, height= 32
x= 128, y= 224, width= 8, height= 32
x= 136, y= 224, width= 16, height= 32
x= 152, y= 224, width= 8, height= 32
x= 160, y= 192, width= 16, height= 16
x= 160, y= 208, width= 16, height= 32
x= 160, y= 240, width= 16, height= 16
x= 176, y= 192, width= 16, height= 64
x= 192, y= 192, width= 16, height= 64
x= 208, y= 192, width= 16, height= 16
x= 208, y= 208, width= 16, height= 32
x= 208, y= 240, width= 16, height= 16
x= 224, y= 192, width= 16, height= 16
x= 224, y= 208, width= 16, height= 32
x= 224, y= 240, width= 16, height= 16
x= 240, y= 192, width= 16, height= 64
x= 256, y= 128, width= 16, height= 16
x= 256, y= 144, width= 16, height= 4
x= 256, y= 148, width= 16, height= 8
x= 256, y= 156, width= 16, height= 4
x= 272, y= 128, width= 8, height= 32
x= 280, y= 128, width= 8, height= 32
x= 288, y= 128, width= 32, height= 32
x= 256, y= 160, width= 32, height= 32
x= 288, y= 160, width= 32, height= 32
x= 320, y= 128, width= 32, height= 64
x= 256, y= 192, width= 64, height= 64
x= 320, y= 192, width= 32, height= 64
x= 0, y= 256, width= 64, height= 32
x= 64, y= 256, width= 32, height= 16
x= 64, y= 272, width= 32, height= 16
x= 96, y= 256, width= 16, height= 16
x= 112, y= 256, width= 8, height= 16
x= 120, y= 256, width= 8, height= 16
x= 96, y= 272, width= 16, height= 16
